版本ID,版本名称,版本状态,版本号,发版日,版本说明
VER-001,26.4MA,已发布,V1.7,2026/4/14,
VER-002,26.4MB,已发布,V1.8,2026/4/28,
VER-003,26.5MA,已发布,V1.9,2026/5/14,
VER-004,26.5MB,已发布,V1.10,2026/6/5,原 2026.05.26 春耕顺延至 2026.06.05
VER-005,26.6MA,已发布,V1.11,2026/6/16,版本 26.6MA 与 26.6MB 拟合并为单一版本。
VER-006,26.6MB,研发中,V1.12,2026.06.30延期至2026.07.02,版本 26.6MA 与 26.6MB 拟合并为单一版本。
VER-007,26.7MA,未开始,V1.13,未公布,
VER-008,26.7MB,未开始,V1.14,未公布,
VER-009,26.8MA,未开始,V1.15,未公布,
VER-010,26.8MB,未开始,V1.16,未公布,
VER-011,26.9MA,未开始,V1.17,未公布,
VER-012,26.9MB,未开始,V1.18,未公布,
VER-013,26.10MA,未开始,V1.19,未公布,
VER-014,26.10MB,未开始,V1.20,未公布,
VER-015,26.11MA,未开始,V1.21,未公布,
VER-016,26.11MB,未开始,V1.22,未公布,
VER-017,26.12MA,未开始,V1.23,未公布,
VER-018,26.12MB,未开始,V1.24,未公布,
